,word,freq
14,the,7815
49,and,5772
40,i,4533
20,to,4448
17,of,3617
107,a,2883
244,he,2525
13,in,2479
106,that,2410
175,it,2050
164,was,1870
118,as,1565
131,for,1495
186,we,1491
122,is,1487
671,his,1464
277,me,1394
302,not,1358
429,you,1294
111,with,1272
34,my,1214
23,all,1131
97,be,1101
27,at,1073
105,so,1066
152,on,1063
92,have,1051
627,her,1044
187,had,1038
162,but,1023
654,him,927
614,she,799
265,when,758
121,there,747
173,which,649
362,if,618
55,from,617
311,this,604
134,are,572
245,said,569
195,were,546
402,then,514
1,by,503
177,could,492
296,one,484
101,them,459
327,they,450
211,us,444
228,or,444
124,no,442
387,do,441
96,will,441
233,up,440
234,some,438
369,must,435
188,would,423
432,what,423
324,shall,422
677,out,422
314,our,404
93,been,391
115,may,388
261,know,382
449,see,378
840,now,371
1540,can,368
404,more,367
192,time,362
556,has,345
344,am,331
204,over,326
84,van,318
219,came,307
1198,come,303
628,went,298
85,helsing,294
165,an,293
642,your,292
360,into,287
304,any,284
832,only,283
143,who,280
183,very,278
372,did,274
418,before,272
476,like,271
182,go,271
606,back,256
536,down,251
206,here,248
436,seemed,243
712,again,242
1076,even,232
371,about,230
210,took,224
448,such,221
425,than,219
511,their,218
235,way,217
442,saw,217
996,think,216
375,though,216
1306,much,214
35,dear,212
179,through,212
729,where,211
624,man,211
64,lucy,210
50,mina,206
218,good,206
220,after,206
610,too,205
770,face,205
1341,hand,204
696,room,202
224,night,201
374,well,199
159,should,195
98,made,195
89,how,195
398,door,193
3787,poor,191
753,eyes,185
450,old,185
315,own,185
491,looked,184
681,tell,183
1330,away,182
461,great,180
41,jonathan,179
68,dr,175
373,sleep,173
240,get,172
537,once,171
497,other,171
1724,“i,169
127,things,168
36,friend,164
176,little,164
1168,make,162
288,just,162
532,look,159
937,might,159
174,got,157
434,day,155
255,found,153
312,yet,149
802,off,148
6010,professor,147
435,long,146
321,count,144
1264,thought,143
242,asked,142
2064,men,142
1205,take,141
857,say,141
542,told,140
386,something,136
790,let,136
306,work,136
29,life,135
902,last,135
904,its,135
804,till,133
262,without,132
1931,god,130
171,place,130
886,first,130
788,ever,129
2025,heart,128
782,fear,128
680,knew,127
740,two,127
1240,myself,127
1694,house,126
3764,arthur,125
900,never,125
232,done,122
1052,himself,121
284,find,114
1105,quite,113
426,began,113
90,these,112
392,still,112
479,coming,111
2783,want,111
687,nothing,110
866,same,110
385,window,108
484,round,106
771,put,106
717,head,105
1889,hands,104
1727,harker,103
708,many,102
778,whilst,101
541,however,101
66,diary,101
1726,mr,101
1688,open,100
495,white,100
2157,help,99
2122,blood,99
848,hear,99
767,mind,98
1243,moment,97
216,left,96
867,thing,96
567,terrible,96
1429,keep,96
1215,seen,94
699,oh,94
682,anything,93
1013,right,92
1328,heard,91
510,rest,91
158,morning,91
184,far,89
1144,strange,88
5669,madam,88
1017,upon,88
376,bed,88
438,full,87
1349,felt,87
4618,mrs,87
458,each,86
1387,few,85
356,every,85
1295,turned,84
2037,since,84
7529,godalming,84
1304,cannot,83
549,being,82
260,don’t,82
142,those,82
683,both,82
303,light,81
1316,another,80
1042,opened,80
636,to-night,80
488,others,79
906,stood,79
364,sort,78
1241,looking,78
3803,seward,78
355,read,78
742,feel,77
2072,alone,77
3845,quincey,77
1308,spoke,77
1272,better,76
2039,love,76
1226,give,76
478,home,75
6,new,75
200,most,74
920,whole,73
1061,held,73
1303,why,72
2046,death,72
3557,lord,72
1515,gone,72
169,seems,72
1462,together,72
3843,morris,71
1122,between,71
940,lay,71
2318,believe,71
4624,lucy’s,71
2343,does,70
1778,ready,69
547,dark,69
459,side,69
236,red,69
1904,sat,69
1728,need,68
613,close,68
1380,case,68
370,ask,68
1325,dead,68
109,almost,68
927,soon,67
622,gave,67
345,going,67
266,london,66
949,end,66
891,against,66
3802,john,65
1148,seem,65
1001,always,64
2958,sweet,64
1210,word,64
690,speak,64
1555,try,63
631,letter,63
384,under,63
42,harker’s,62
2753,hope,62
535,set,62
1930,soul,62
1261,watch,62
807,write,62
1157,“you,61
4118,an’,61
733,tried,61
669,answered,60
43,journal,60
1311,lips,60
1113,fell,59
358,world,59
2659,ship,58
1259,already,58
378,enough,58
777,part,58
144,kept,58
290,three,58
