,word,freq
2,the,4400
11,and,3051
67,i,2919
21,of,2799
78,to,2183
112,my,1819
33,a,1440
58,in,1176
31,was,1062
66,that,1045
151,me,876
110,but,706
156,had,704
40,with,689
303,he,625
160,which,586
102,it,575
585,you,571
111,as,563
341,his,550
132,not,531
60,for,514
222,on,479
6,by,475
29,this,415
32,from,396
123,have,382
119,be,374
412,her,374
92,when,338
16,at,328
175,were,320
103,is,318
528,she,255
1151,your,252
61,one,226
384,him,226
100,an,223
87,so,216
203,they,215
200,all,205
239,could,203
113,will,198
276,would,198
482,if,196
665,been,195
62,their,190
1,or,187
348,we,181
480,are,181
358,who,180
871,no,176
76,more,174
368,these,162
71,some,160
860,now,158
68,should,157
849,yet,154
599,before,148
107,myself,145
191,what,136
98,upon,135
251,our,133
70,them,133
23,man,132
114,only,130
396,into,129
75,am,129
357,its,128
263,did,127
141,life,123
591,every,122
536,do,120
159,than,118
189,own,113
295,first,113
232,then,113
1595,father,113
321,might,111
81,shall,109
213,time,109
713,eyes,107
318,any,103
486,said,103
977,may,101
127,can,98
621,being,98
307,even,97
717,saw,97
1122,towards,95
324,how,95
555,those,94
121,such,92
244,most,92
190,mind,91
689,night,91
409,found,90
828,day,85
2606,elizabeth,85
861,again,84
277,ever,84
406,whom,83
88,very,83
237,where,82
400,there,82
142,thought,81
286,after,80
577,felt,80
422,death,78
195,other,78
572,heart,78
1521,feelings,76
639,many,73
215,made,72
155,still,72
168,up,72
451,soon,72
1102,dear,72
592,must,71
199,friend,70
148,during,69
211,passed,69
544,also,68
954,while,68
851,never,68
418,miserable,66
908,has,66
364,us,66
82,thus,66
736,human,64
287,became,64
431,like,63
1608,same,63
456,heard,63
836,few,62
291,place,62
1386,sometimes,60
1210,little,58
267,appeared,58
1159,over,58
1450,love,58
2689,clerval,56
1064,friends,56
2015,indeed,56
560,nature,55
390,often,55
581,misery,55
363,among,54
523,see,54
3998,justine,54
516,about,54
210,country,53
1761,although,53
829,words,53
381,whose,52
873,several,52
1434,until,52
750,hope,52
4567,cottage,51
746,away,51
5433,felix,50
521,through,50
1631,old,50
1111,feel,50
535,know,50
1313,great,49
601,world,49
2149,despair,49
1586,happiness,49
1437,return,49
391,days,49
619,cannot,48
869,happy,47
640,long,47
1370,voice,46
126,alone,46
1609,another,46
1141,sun,45
1040,scene,45
513,poor,45
282,far,45
316,much,44
1298,well,44
1250,years,44
372,light,44
3728,horror,44
785,fear,43
611,out,43
95,came,43
683,creature,43
1462,men,43
867,affection,42
330,nothing,42
1207,joy,41
135,two,41
41,new,41
308,part,40
228,near,40
252,house,40
399,hands,40
635,power,40
101,idea,39
322,himself,39
264,make,39
158,pleasure,39
325,possessed,39
894,almost,39
256,mountains,39
1229,months,39
586,morning,39
366,thoughts,39
2078,entered,38
699,nor,38
1964,countenance,38
414,tale,38
1695,therefore,37
751,left,37
380,earth,37
1072,journey,37
1046,geneva,37
149,hours,37
3189,moment,37
187,down,37
375,seemed,37
922,work,36
1264,good,36
447,lost,36
1036,kind,36
1697,come,36
1755,ice,36
2376,took,36
1246,soul,36
792,around,35
294,however,35
144,child,35
1797,why,35
1100,here,34
22,last,34
654,discovered,34
1481,gentle,34
176,once,34
852,taken,34
2026,spirit,34
695,rest,34
312,become,34
2100,knowledge,33
96,think,33
2207,believe,33
2174,cause,33
1161,sea,33
1000,manner,32
1812,strange,32
1015,present,32
333,family,32
1886,remained,32
1048,cold,32
2439,gave,32
766,existence,32
2206,knew,32
1108,already,32
1263,whole,32
198,companion,32
2272,peace,32
2273,continued,32
793,room,32
285,sensations,32
1311,resolved,32
485,each,31
491,began,31
3759,monster,31
1377,spirits,31
1118,delight,31
2430,mother,31
1836,beheld,31
1602,tears,31
1888,within,31
93,young,31
1639,returned,31
978,without,31
268,too,31
644,nearly,30
369,brought,30
1099,arrived,30
430,form,30
3822,fiend,30
94,girl,30
767,looked,30
1862,appearance,30
319,thing,29
483,read,29
870,grief,29
842,length,29
311,since,29
1589,loved,29
1062,desire,29
949,endeavoured,29
696,placed,29
355,lake,29
1829,lay,28
1334,science,28
74,story,28
64,expressed,28
580,greatest,28
0,frankenstein,28
848,feeling,28
260,imagination,28
616,dark,28
2242,yourself,28
1215,native,28
782,mine,28
184,others,28
1912,replied,27
1184,thousand,27
1053,wood,27
1082,letter,27
2611,beautiful,27
3414,food,27
1103,sister,27
982,rather,27
1927,air,27
4285,murderer,27
3523,hardly,27
647,various,27
1139,beauty,27
1129,wind,27
1070,suddenly,27
1054,fire,27
1831,change,27
2552,lovely,26
475,hour,26
697,head,26
673,means,26
664,having,26
2828,victor,26
354,spent,26
1808,beloved,26
44,henry,26
3691,agony,26
1872,ground,26
469,sat,26
1501,perceived,26
2010,called,26
1394,quickly,26
1995,seek,26
3308,let,26
841,greater,26
1451,kindness,26
2296,hand,26
315,desired,26
1029,always,25
2333,live,25
1419,town,25
1196,sight,25
1306,cousin,25
1564,under,25
2107,spoke,25
917,degree,25
1368,oh,25
1315,body,25
5074,rage,25
334,occupied,25
5546,safie,25
4072,william,25
2007,concerning,24
326,promise,24
2306,chapter,24
2313,filled,24
207,free,24
2403,died,24
457,door,24
208,lived,24
1664,fixed,24
466,sleep,24
3706,wretch,24
2227,die,24
1923,wretched,24
104,true,24
1984,state,24
4267,anguish,24
623,itself,24
65,wish,24
1307,turned,24
494,end,24
2803,natural,24
677,perhaps,23
1747,say,23
1320,endured,23
1517,find,23
2598,sweet,23
759,dead,23
83,give,23
1375,hopes,23
903,m,23
1097,evil,23
2023,destroyed,23
115,appear,23
345,attention,23
72,account,23
3051,longer,23
1832,take,22
5432,agatha,22
1638,quitted,22
4806,revenge,22
436,seen,22
5334,cottagers,22
1453,brother,22
3094,sound,22
1907,destruction,22
3313,enemy,22
1152,leave,22
2905,followed,22
379,heaven,22
85,answer,22
3730,unable,22
1682,care,22
858,entirely,22
470,face,21
1898,stranger,21
2618,home,21
4459,murder,21
1276,father's,21
5230,sunk,21
1468,object,21
1890,enter,21
1355,remain,21
598,went,21
551,task,21
1085,england,21
787,wished,21
1561,youth,21
1871,observed,21
2983,formed,21
3561,moon,21
1260,remember,21
642,between,21
566,look,21
2224,suffered,21
1864,wonder,21
507,language,21
4296,vengeance,21
1163,land,20
459,opened,20
150,given,20
2361,mean,20
1367,path,20
3650,allowed,20
248,trees,20
864,go,20
3351,against,20
1299,acquainted,20
170,subject,20
1914,god,20
877,conversation,20
1160,calm,20
569,blood,20
3310,destroy,20
1201,sufficient,20
401,history,20
275,events,20
2551,woman,20
4355,spot,20
2281,drew,20
335,study,20
865,forth,20
2075,deeply,20
802,high,20
741,creator,20
597,something,19
3950,dared,19
2517,children,19
4250,murdered,19
2879,learned,19
2894,beings,19
2530,different,19
625,discovery,19
3268,covered,19
4134,pain,19
2483,innocent,19
2792,steps,19
4337,approached,19
206,dearest,19
557,speak,19
1970,melancholy,19
3078,alas,19
804,easily,19
1857,progress,19
344,engaged,19
2044,manners,19
336,way,19
835,dream,19
1654,sympathy,19
398,fell,19
426,just,19
627,continually,19
1075,memory,19
1471,none,19
1092,hear,19
3039,departure,19
999,proceeded,19
2041,health,19
1290,creation,19
274,wonderful,18
527,course,18
90,asked,18
662,purpose,18
694,retired,18
2671,son,18
1665,fate,18
1821,surrounded,18
1802,determined,18
80,because,18
2101,sought,18
2289,future,18
2049,deep,18
838,short,18
4315,innocence,18
4347,thy,18
1249,eye,18
2264,endure,18
3317,exclaimed,18
1372,courage,18
1429,necessary,18
2243,rendered,18
732,half,18
339,ideas,18
2072,unhappy,18
349,visited,18
976,labours,18
2132,lips,18
2775,full,17
1959,moments,17
3079,quit,17
2003,across,17
2768,ill,17
1738,letters,17
2009,dæmon,17
2239,reflect,17
2225,misfortunes,17
2990,pursue,17
2793,afterwards,17
1353,vessel,17
1660,consolation,17
2146,passion,17
2086,led,17
365,put,17
140,early,17
755,received,17
1552,person,17
1074,scenes,17
3270,black,17
3181,visit,17
1616,instantly,16
940,view,16
4680,bitter,16
181,close,16
3844,walked,16
3684,crime,16
174,dreams,16
389,rain,16
1179,discover,16
1569,overcome,16
1611,union,16
1391,period,16
4054,wept,16
2960,heavens,16
2568,victim,16
890,interest,16
1042,society,16
4775,water,16
2136,seized,16
608,does,16
3764,sounds,16
575,name,16
2784,misfortune,16
824,describe,16
652,whether,16
1934,small,16
1440,pass,16
3235,extreme,16
99,hideous,16
1618,pursuit,16
468,sorrow,16
645,silent,16
2389,rose,16
1211,boat,16
3450,darkness,16
1236,reflections,16
454,back,16
3036,ingolstadt,16
1119,understand,16
1929,restored,16
2677,shore,15
1852,distance,15
2347,unfortunate,15
2139,powers,15
1896,open,15
886,circumstances,15
4247,horrible,15
117,former,15
2378,bed,15
733,frightful,15
108,forward,15
762,silence,15
939,point,15
134,daughter,15
128,scarcely,15
2804,philosophy,15
1444,excellent,15
3123,smiles,15
1294,names,15
3090,departed,15
1630,marriage,15
3874,reflected,15
3405,strength,15
1156,snow,15
3328,awoke,15
1188,voyage,15
1635,bound,15
1562,solitude,15
3906,cried,15
420,bestow,15
2454,benevolent,14
235,pleasant,14
556,excited,14
3947,remorse,14
4386,wandered,14
693,gone,14
5035,moved,14
146,favourite,14
3192,mr,14
603,support,14
443,along,14
242,fancy,14
241,creatures,14
1238,agitation,14
1956,expression,14
5300,hovel,14
2343,wretchedness,14
1948,sufferings,14
772,behold,14
5096,thou,14
1943,recovered,14
460,advanced,14
2455,tranquillity,14
4678,past,14
951,truth,14
2183,sky,14
2110,tried,14
907,event,14
1322,thirst,14
4965,waves,14
2152,told,14
881,word,14
4301,hatred,14
2053,amiable,14
5,produced,14
2180,presently,14
1604,herself,14
1347,admiration,14
2644,capable,14
853,presented,14
1195,curiosity,14
2599,presence,14
153,write,14
2029,frame,14
284,age,14
5460,understood,14
2796,mountain,14
231,call,14
180,latter,14
3978,ernest,13
742,success,13
1021,virtue,13
2524,labour,13
1028,conceived,13
2416,parents,13
3364,gained,13
737,endeavour,13
1205,commence,13
1024,spring,13
1899,addressed,13
1918,limbs,13
3618,remembered,13
3,modern,13
5555,protectors,13
1328,devoted,13
2153,reflection,13
2070,watching,13
2164,ought,13
377,divine,13
4464,magistrate,13
1280,allow,13
2036,instant,13
2035,promised,13
2205,above,13
942,passions,13
327,better,13
3462,paused,13
843,certainly,13
839,urged,13
1254,prospect,13
194,least,13
1251,ardour,13
1997,pursued,13
5352,employed,13
712,shut,13
3497,arabian,13
1232,secret,13
799,sense,13
3472,surprised,13
1947,feared,13
2279,next,13
2743,directed,13
3111,less,13
1731,dare,13
537,obliged,13
1132,vain,13
1107,undertaking,13
1574,believed,13
4805,crimes,13
4022,reason,13
567,round,13
1605,feet,13
2718,enjoyed,13
2984,threw,13
4896,mighty,13
1624,bestowed,13
1669,winter,13
247,beneath,13
678,corpse,12
1942,degrees,12
4338,mont,12
328,things,12
3927,surely,12
1495,wild,12
3682,fellow-creatures,12
5028,clouds,12
1273,increased,12
855,except,12
1921,fatigue,12
467,eternal,12
1216,river,12
1496,books,12
1686,sensation,12
1166,hitherto,12
280,people,12
2259,doubt,12
3536,plan,12
1441,meet,12
2276,destiny,12
2277,listen,12
1257,ocean,12
1625,remains,12
1979,off,12
3041,arrive,12
5997,dreadful,12
4410,cast,12
1793,themselves,12
1234,possible,12
801,white,12
1610,consent,12
5073,abhorred,12
5034,hunger,12
3154,companions,12
1913,satisfied,12
2617,evening,12
1203,danger,12
1178,expected,12
2603,village,12
2420,justice,12
2843,studies,12
4123,torture,12
1563,best,12
923,considered,12
3731,created,12
1549,city,12
1109,north,12
2505,turn,12
1333,branches,12
518,lady,12
1323,want,12
6755,kirwin,12
909,supposed,12
4982,woods,12
1850,sledge,12
1681,committed,12
490,noble,12
1996,fled,12
2446,fair,12
1513,enough,12
1512,greatly,12
3348,listened,12
2613,occupations,12
3943,cheerful,12
3935,objects,12
481,fresh,12
2426,set,12
688,warmth,12
559,fears,11
350,switzerland,11
1421,three,11
3703,rushed,11
1716,besides,11
2187,suffer,11
254,sides,11
4226,times,11
2891,gazed,11
3683,guilty,11
4499,condemned,11
2955,behind,11
5655,prison,11
167,following,11
346,summer,11
2073,utterly,11
271,figure,11
593,beginning,11
1735,picture,11
883,changed,11
2050,compassion,11
3867,right,11
3032,utter,11
2058,pity,11
185,done,11
2025,broken,11
1636,honour,11
515,terrible,11
685,together,11
1828,accordingly,11
4013,inhabitants,11
988,circumstance,11
3448,trembled,11
783,terror,11
991,partly,11
1838,vast,11
2523,hard,11
2384,rapidly,11
1774,experienced,11
1949,deprived,11
1498,ceased,11
2414,wife,11
4777,carried,11
1026,situation,11
120,confined,11
4333,waters,11
221,residence,11
3167,longed,11
1223,mankind,11
1060,fall,11
2592,hills,11
1780,assured,11
2285,duties,11
2286,related,11
1559,known,11
2544,blue,11
289,reality,11
3516,difficulty,11
2548,species,11
1994,gloom,11
290,stood,11
1240,enthusiasm,11
661,really,11
444,gloomy,11
1792,stars,11
1954,duty,11
43,london,11
2542,clear,11
1047,season,10
1194,ardent,10
1869,follow,10
1555,gentleness,10
1860,distant,10
2090,burning,10
1189,render,10
1700,ancient,10
1327,sailors,10
4512,trial,10
913,impossible,10
5143,cursed,10
1112,breeze,10
5394,blind,10
1887,alive,10
1680,safety,10
1765,ardently,10
1989,repose,10
1980,ask,10
1752,apparently,10
1430,accustomed,10
1090,17,10
1443,farewell,10
5650,paris,10
1069,weather,10
1096,enterprise,10
1480,bitterly,10
137,distinguished,10
1382,demand,10
1059,happened,10
4504,guilt,10
1140,margaret,10
4914,forms,10
5642,de,10
1647,ignorant,10
4646,rise,10
1659,conceive,10
1911,afford,10
5114,thee,10
1961,act,10
3775,approach,10
4401,devil,10
471,bent,10
2262,evidence,10
3125,forget,10
3072,desert,10
3047,persuade,10
3046,fever,10
4027,superior,10
2980,occasion,10
587,forced,10
2301,storm,10
2842,returning,10
2330,poverty,10
2832,instead,10
2830,sad,10
2753,shone,10
4219,pressed,10
670,case,10
2663,learn,10
674,move,10
2369,procure,10
778,looking,10
705,arose,10
2579,garden,10
707,beyond,10
4279,weep,10
752,slight,10
722,beside,10
2497,five,10
3176,solitary,10
735,effect,10
3584,collected,10
3841,recollection,10
2167,aid,10
3615,caused,10
423,younger,10
410,arms,10
3572,remembrance,10
3518,attempt,10
3669,leaves,10
3861,tell,10
3791,hell,10
3802,court,10
2557,nurse,9
4874,valley,9
3607,fields,9
1094,accompanied,9
2783,dwelling,9
86,question,9
724,stretched,9
1762,warm,9
5643,lacey,9
2680,lives,9
1305,fortune,9
2536,living,9
1073,magnificent,9
4840,taking,9
2553,eagerly,9
2665,laws,9
1794,witnesses,9
4287,trace,9
3633,convinced,9
1418,depart,9
676,motion,9
2657,contemplated,9
403,lover,9
3757,window,9
4271,neck,9
2588,looks,9
1291,imagined,9
1358,consider,9
1265,uncle,9
3484,lifeless,9
2839,thrown,9
1226,passage,9
3177,apartment,9
3193,krempe,9
510,commenced,9
3215,waldman,9
3977,cloud,9
5144,curse,9
1515,useless,9
3942,bosom,9
3359,escape,9
5216,uttered,9
3428,animal,9
448,shadow,9
5256,struck,9
3434,relate,9
1465,able,9
3895,excess,9
4005,aunt,9
3493,grasp,9
4991,hid,9
79,comply,9
2846,ruin,9
1688,fearful,9
4111,relieve,9
2970,disappeared,9
323,judge,9
1646,turk,9
531,condition,9
20,author,9
1435,month,9
433,complete,9
5045,rock,9
2495,enjoyment,9
5093,hate,9
3106,whilst,9
1701,smile,9
2158,enjoy,9
2368,hoped,9
2069,illness,9
823,need,9
1916,surprise,9
1953,attended,9
2156,fallen,9
1924,attempted,9
2194,express,9
2144,violence,9
6101,miseries,9
2141,restore,9
212,considerable,9
2351,endeavouring,9
6100,create,9
2359,hastened,9
1958,madness,9
183,doing,9
2088,use,9
204,refuge,9
3771,inhabited,8
2233,wishes,8
3255,information,8
3277,terms,8
3916,senses,8
3283,performed,8
3343,instruments,8
1490,execution,8
3321,marked,8
1547,finding,8
305,obtain,8
3179,pleased,8
2012,doubtless,8
2230,determination,8
297,prove,8
2488,both,8
3174,met,8
4397,deformity,8
4622,criminal,8
1655,otherwise,8
1652,astonishing,8
1651,conduct,8
2982,explanation,8
5009,desolate,8
1973,teeth,8
1642,fellow,8
1976,guest,8
2292,ears,8
3053,anxiety,8
1621,money,8
3089,exhibited,8
548,speedily,8
3095,familiar,8
3101,bitterness,8
2269,thank,8
3141,tear,8
3147,descended,8
1467,absence,8
3160,countenances,8
3446,impressed,8
3901,arrival,8
455,step,8
1289,year,8
1397,english,8
411,pale,8
884,portion,8
4481,speech,8
3631,vice,8
1379,proceed,8
3644,affections,8
1373,resolution,8
5507,hasten,8
2084,detail,8
1414,ambition,8
3836,seeing,8
3702,agitated,8
3704,emotions,8
3832,minutes,8
3739,slept,8
3744,held,8
1324,worked,8
2134,strongly,8
2119,burst,8
1406,deck,8
3586,disturbed,8
4427,rising,8
2040,improved,8
2210,quick,8
3481,succeeded,8
1455,walton,8
2962,sudden,8
4439,sorrowful,8
3486,summit,8
2032,watch,8
1449,gratitude,8
446,shape,8
3890,servant,8
1415,lose,8
3526,prepared,8
3552,claim,8
4450,winds,8
3869,sincerely,8
5666,gain,8
427,reached,8
173,incidents,8
1424,ship,8
3575,passing,8
2971,blasted,8
2114,failed,8
4642,join,8
2732,confess,8
975,amusement,8
1817,papers,8
6005,inhabit,8
2844,fatal,8
1781,sake,8
2391,procured,8
2507,angel,8
2725,violent,8
4636,refuse,8
2307,birth,8
980,apply,8
1818,possession,8
2534,hair,8
4196,delay,8
2733,neither,8
655,communicated,8
1736,continue,8
757,animation,8
2819,agrippa,8
1043,cease,8
2436,virtues,8
2641,nearer,8
2558,charge,8
4201,daily,8
2394,straw,8
4799,obscure,8
974,receive,8
2500,week,8
4508,dry,8
2381,exertion,8
2771,perfectly,8
795,closed,8
2957,thunder,8
4099,lively,8
4816,banks,8
2346,retreat,8
1071,serene,8
2659,delighted,8
2496,single,8
2909,regard,8
4339,blanc,8
2908,taught,8
808,haunted,8
1690,going,8
1926,cabin,8
614,materials,8
1875,large,8
786,ran,8
6853,fulfil,8
1025,character,8
2587,shed,8
4238,waited,8
4118,instrument,8
4960,solemn,8
1014,effects,8
2356,ten,8
2177,expressive,7
2042,appears,7
4263,conjectured,7
4261,hide,7
3565,toil,7
