,word,freq
18,the,7699
44,i,6559
53,and,6363
26,to,5069
25,of,4328
37,a,4319
20,in,2714
125,you,2593
480,was,2494
56,my,2155
65,it,2140
97,me,1902
285,he,1833
549,her,1653
109,as,1561
170,that,1526
301,had,1480
142,not,1476
544,she,1383
70,with,1368
32,is,1293
62,for,1258
303,his,1203
568,at,1150
94,but,1119
173,on,1116
90,have,1062
144,be,1017
126,from,712
264,him,658
1077,your,653
175,would,651
4,by,636
148,or,613
356,were,608
21,this,607
386,no,597
103,so,595
771,all,592
279,will,589
131,what,583
2,an,579
23,are,578
392,which,576
511,now,574
539,said,556
140,one,552
496,when,540
427,mr,506
406,could,499
344,if,480
204,they,479
226,there,459
950,“i,432
890,then,418
246,been,388
941,do,383
512,out,380
604,up,372
100,them,364
345,some,363
282,did,355
242,like,350
369,more,348
83,their,345
378,very,344
1261,am,340
591,little,333
75,its,317
98,must,303
6772,rochester,294
211,should,285
371,than,285
485,we,282
1226,miss,278
316,before,278
110,only,276
286,never,276
243,see,270
625,into,263
107,who,257
922,thought,251
352,over,249
152,such,247
1279,still,241
494,mrs,240
66,has,240
208,too,239
515,long,233
446,again,232
1956,shall,231
825,down,229
919,well,226
296,yet,225
115,how,223
557,looked,215
609,can,215
552,time,214
551,about,213
1123,go,213
343,think,210
1604,seemed,209
114,know,209
1240,any,204
309,own,200
0,jane,197
1100,“you,195
484,day,194
320,much,192
462,where,190
807,two,190
951,come,187
1040,saw,185
192,face,183
1010,after,182
571,heard,179
122,say,178
443,myself,175
196,hand,174
231,good,174
903,room,174
322,came,174
38,first,174
1082,“and,174
156,eyes,173
189,last,171
1018,once,166
2347,sir,166
297,might,161
537,john,160
1172,felt,160
472,made,160
656,while,159
199,these,156
914,here,155
595,asked,154
1121,house,150
850,ever,149
251,make,148
896,door,148
127,heart,148
800,just,147
1086,look,147
619,soon,144
1385,went,143
894,nothing,142
875,love,142
776,through,140
357,take,140
647,left,140
272,under,138
241,may,138
2083,life,137
342,tell,137
1054,without,137
456,other,136
555,nor,135
931,put,135
596,don’t,133
51,both,132
1649,night,132
892,way,131
284,because,131
693,quite,130
677,away,130
341,cannot,129
1043,though,129
600,something,129
4886,st,126
669,near,126
932,head,125
389,found,124
1047,back,124
1311,stood,123
307,man,123
42,being,122
1296,took,122
1605,give,119
1002,rather,119
317,great,118
541,round,116
1579,mind,116
862,us,116
2493,even,115
901,voice,115
983,eye,114
918,“it,112
6891,adèle,111
1057,knew,110
141,far,110
6306,fairfax,109
295,better,109
137,another,107
491,morning,107
1935,till,107
878,old,106
350,fire,105
629,sat,105
1376,leave,104
257,let,104
1335,off,103
593,“what,103
2460,wish,103
495,reed,102
490,hour,101
530,bessie,101
1222,new,101
864,got,100
1021,every,100
1136,enough,100
308,our,99
1263,“no,99
1555,moment,98
162,each,96
3130,almost,96
999,turned,96
2346,“yes,96
1795,most,95
1397,hall,95
133,those,95
50,words,95
829,passed,94
1433,rose,92
1499,dark,92
1357,place,91
1858,light,91
2463,get,90
1238,strange,90
487,indeed,89
59,three,89
1320,“but,88
2056,feel,86
239,between,86
1321,always,86
6307,thornfield,86
1167,hear,85
49,few,85
934,sure,85
1008,perhaps,84
128,having,84
949,answer,84
1348,half,83
2909,lady,81
833,black,81
947,want,81
1544,evening,80
843,told,80
45,gave,78
1035,young,78
9197,ingram,77
5843,mary,77
961,years,77
1,eyre,77
448,word,77
2265,full,77
2349,sir.”,77
500,cold,76
1195,called,76
1797,find,75
172,god,75
610,speak,75
1788,nature,74
2719,woman,74
1403,bed,74
240,world,74
1908,seen,74
3919,side,73
164,against,73
1510,whether,73
603,child,72
2038,name,72
908,continued,71
1313,looking,71
3511,done,71
1120,mine,71
104,certain,70
923,wished,70
1051,minutes,70
412,same,70
987,school,70
2976,open,69
2315,hope,69
1194,hands,69
545,lay,69
646,right,69
1193,sort,69
1330,answered,69
891,least,69
503,brought,68
697,“the,68
14688,diana,68
1266,keep,68
2359,going,68
492,since,68
3710,wife,68
379,master,68
835,thing,68
2514,ladies,67
209,often,67
404,does,66
1697,many,66
1933,believe,66
809,low,66
928,either,65
522,home,65
1174,hair,65
1713,pleasure,65
364,why,65
965,large,65
926,himself,64
1352,yourself,64
1435,white,64
1066,read,64
854,sometimes,64
1985,feeling,63
155,whose,63
1046,however,63
454,alone,63
599,besides,63
681,returned,63
3057,return,63
1911,“oh,63
877,taken,62
78,opened,62
2046,given,62
310,days,62
1198,gone,61
1328,girl,61
200,things,61
129,thus,61
2818,best,60
2035,“well,60
1097,window,59
2331,rest,59
980,table,58
1569,present,58
150,doubt,58
564,“she,58
2233,people,58
2084,poor,58
397,talk,58
1463,quiet,58
1616,set,58
2363,appeared,58
2341,course,57
2073,ask,57
4028,lips,57
1190,fear,57
1976,wild,57
1815,towards,57
1107,live,57
1036,part,56
347,whom,56
1378,anything,56
900,cried,56
553,neither,56
1139,fell,55
828,behind,55
87,sense,55
2557,air,54
1162,silence,54
2611,within,54
863,sit,54
2455,fine,54
1201,followed,54
2563,“is,54
291,liked,54
136,turn,53
1737,began,53
1950,stay,52
3263,temple,52
1456,entered,52
1465,herself,52
3752,end,52
3217,lowood,51
471,already,51
559,happy,51
4360,strong,51
1979,suppose,51
2288,“a,50
4608,helen,50
1341,kind,50
2416,it.”,49
1247,arms,49
339,high,49
665,pale,49
1200,upon,49
1116,i’ll,49
1480,kept,49
621,care,49
2592,married,49
3401,whole,49
1920,wanted,49
10453,mason,49
637,close,48
1983,next,48
3211,brocklehurst,48
1887,sound,47
483,walk,47
644,shut,47
1951,longer,47
769,idea,47
1075,step,47
1218,laid,47
6791,rochester’s,47
1170,ran,46
31,work,46
1076,“that,46
1777,remember,46
1049,chair,46
328,deep,45
1264,less,45
479,chapter,45
3095,you.”,45
47,second,45
2513,spoke,45
1992,water,45
302,stopped,45
2406,smile,45
502,wind,45
849,feelings,45
217,human,45
329,power,45
4088,point,44
3277,grace,44
1344,become,44
3579,short,44
1443,scarcely,44
254,pass,44
1105,father,44
920,drew,44
2808,used,44
1191,received,44
2875,features,44
3118,held,44
2205,sought,44
2013,candle,43
146,mean,43
2090,together,43
139,small,43
2173,order,43
2048,call,43
2718,me.”,43
300,death,43
513,question,43
3557,thoughts,42
2872,person,42
997,sent,42
1068,struck,42
3506,fast,42
3215,character,42
9293,marry,42
2754,beyond,42
912,sisters,42
124,gentlemen,42
